ISBN	Response Group	Log time	Log date
9783319332123	ItemAttributes	11:50:27	27:09:17
9783319350707	ItemAttributes	11:50:28	27:09:17
9783319220802	ItemAttributes	11:50:29	27:09:17
9783319224213	ItemAttributes	11:50:30	27:09:17
9783319247939	ItemAttributes	11:50:34	27:09:17
9783319259772	ItemAttributes	11:50:35	27:09:17
9783319240053	ItemAttributes	11:50:36	27:09:17
9783319254463	ItemAttributes	11:50:37	27:09:17
9783319317199	ItemAttributes	11:50:38	27:09:17
9783319232607	ItemAttributes	11:50:39	27:09:17
9783319334004	ItemAttributes	11:50:43	27:09:17
9783319220772	ItemAttributes	11:50:44	27:09:17
9783319293264	ItemAttributes	11:50:45	27:09:17
9783319164496	ItemAttributes	11:50:46	27:09:17
9783319232096	ItemAttributes	11:50:47	27:09:17
9783319211695	ItemAttributes	11:50:48	27:09:17
9783319234571	ItemAttributes	11:50:49	27:09:17
9783319266077	ItemAttributes	11:50:51	27:09:17
9783319250892	ItemAttributes	11:50:52	27:09:17
9783319189499	ItemAttributes	11:50:53	27:09:17
9783319229232	ItemAttributes	11:50:54	27:09:17
9783319229447	ItemAttributes	11:50:55	27:09:17
9783319332031	ItemAttributes	11:50:56	27:09:17
9783319285771	ItemAttributes	11:50:57	27:09:17
9783319408163	ItemAttributes	11:50:59	27:09:17
9783319403182	ItemAttributes	11:51:00	27:09:17
9783319217550	ItemAttributes	11:51:01	27:09:17
9783319332321	ItemAttributes	11:51:02	27:09:17
9783319466590	ItemAttributes	11:51:03	27:09:17
9783319363912	ItemAttributes	11:51:13	27:09:17
9783319232270	ItemAttributes	11:51:14	27:09:17
9783319298078	ItemAttributes	11:51:15	27:09:17
9783319222844	ItemAttributes	11:51:16	27:09:17
9783319291963	ItemAttributes	11:51:17	27:09:17
9783319284842	ItemAttributes	11:51:18	27:09:17
9783319208657	ItemAttributes	11:51:20	27:09:17
9783319317311	ItemAttributes	11:51:21	27:09:17
9783319289571	ItemAttributes	11:51:22	27:09:17
9783319364193	ItemAttributes	11:51:23	27:09:17
9783319321110	ItemAttributes	11:51:24	27:09:17
9783319317748	ItemAttributes	11:51:25	27:09:17
9783319230535	ItemAttributes	11:51:31	27:09:17
9783319281018	ItemAttributes	11:51:32	27:09:17
9783319249940	ItemAttributes	11:51:33	27:09:17
9783319289304	ItemAttributes	11:51:34	27:09:17
9783319331768	ItemAttributes	11:51:35	27:09:17
9783319325088	ItemAttributes	11:51:39	27:09:17
9783319288581	ItemAttributes	11:51:40	27:09:17
9783319244914	ItemAttributes	11:51:41	27:09:17
9783319234755	ItemAttributes	11:51:45	27:09:17
9783319233376	ItemAttributes	11:51:46	27:09:17
9783319293295	ItemAttributes	11:51:47	27:09:17
9783319310107	ItemAttributes	11:51:48	27:09:17
9783319300894	ItemAttributes	11:51:50	27:09:17
9783319290478	ItemAttributes	11:51:51	27:09:17
9783319294995	ItemAttributes	11:51:52	27:09:17
9783319244792	ItemAttributes	11:51:53	27:09:17
9783319174181	ItemAttributes	11:51:54	27:09:17
9783319281049	ItemAttributes	11:51:55	27:09:17
9783319306889	ItemAttributes	11:51:56	27:09:17
9783319237718	ItemAttributes	11:51:58	27:09:17
9783319323268	ItemAttributes	11:51:59	27:09:17
9783319308333	ItemAttributes	11:52:00	27:09:17
9783319335599	ItemAttributes	11:52:01	27:09:17
9783319193595	ItemAttributes	11:52:02	27:09:17
9783319311487	ItemAttributes	11:52:03	27:09:17
9783319191164	ItemAttributes	11:52:07	27:09:17
9783319229416	ItemAttributes	11:52:08	27:09:17
9783319392875	ItemAttributes	11:52:09	27:09:17
9783319200552	ItemAttributes	11:52:10	27:09:17
9783319417592	ItemAttributes	11:52:11	27:09:17
9783319389516	ItemAttributes	11:52:14	27:09:17
9783319392332	ItemAttributes	11:52:18	27:09:17
9783319152202	ItemAttributes	11:52:19	27:09:17
9783319270173	ItemAttributes	11:52:20	27:09:17
9783319304700	ItemAttributes	11:52:21	27:09:17
9783319498454	ItemAttributes	11:52:22	27:09:17
9783319283906	ItemAttributes	11:52:30	27:09:17
9783319689180	ItemAttributes	11:52:31	27:09:17
9783319267357	ItemAttributes	11:52:32	27:09:17
9783319254043	ItemAttributes	11:52:33	27:09:17
9783319246284	ItemAttributes	11:52:34	27:09:17
9783319312798	ItemAttributes	11:52:35	27:09:17
9783319294698	ItemAttributes	11:52:39	27:09:17
9783319313214	ItemAttributes	11:52:40	27:09:17
9783319132143	ItemAttributes	11:52:41	27:09:17
9783319225654	ItemAttributes	11:52:42	27:09:17
9783319464084	ItemAttributes	11:52:43	27:09:17
9783319372860	ItemAttributes	11:52:44	27:09:17
9783319288130	ItemAttributes	11:52:46	27:09:17
9783319225326	ItemAttributes	11:52:47	27:09:17
9783319215686	ItemAttributes	11:52:48	27:09:17
9783319237473	ItemAttributes	11:52:49	27:09:17
9783319286266	ItemAttributes	11:52:50	27:09:17
9783319248240	ItemAttributes	11:52:58	27:09:17
9783319437521	ItemAttributes	11:52:59	27:09:17
9783319241791	ItemAttributes	11:53:00	27:09:17
